item_id,item_group,cubic_volume_ft
3425.0,B,0.25
3425.0,B,0.25
3425.0,B,0.25
9635.0,A,0.77
8877.0,B,0.33
8877.0,B,0.33
2167.0,D,0.29
2167.0,D,0.29
2167.0,D,0.29
2167.0,D,0.29
8575.0,A,0.92
8575.0,A,0.92
8575.0,A,0.92
2524.0,A,0.43
2524.0,A,0.43
2524.0,A,0.43
2524.0,A,0.43
2745.0,D,1.08
2745.0,D,1.08
2745.0,D,1.08
2230.0,D,1.0
2230.0,D,1.0
1521.0,C,0.8
9667.0,B,0.11
9667.0,B,0.11
4113.0,A,0.15
4113.0,A,0.15
1581.0,B,0.32
1581.0,B,0.32
1581.0,B,0.32
8876.0,C,0.62
8876.0,C,0.62
8839.0,A,1.08
8839.0,A,1.08
4506.0,C,1.01
2061.0,A,0.35
1367.0,D,0.12
1367.0,D,0.12
1367.0,D,0.12
7349.0,C,0.62
7349.0,C,0.62
4101.0,B,0.66
4101.0,B,0.66
4101.0,B,0.66
8030.0,B,0.7
8030.0,B,0.7
8030.0,B,0.7
8030.0,B,0.7
2663.0,C,0.34
3306.0,D,0.36
3306.0,D,0.36
5527.0,A,0.45
5527.0,A,0.45
5673.0,A,0.92
5673.0,A,0.92
4819.0,D,1.09
4819.0,D,1.09
4819.0,D,1.09
2301.0,A,1.18
2301.0,A,1.18
2301.0,A,1.18
2301.0,A,1.18
9972.0,B,0.73
9972.0,B,0.73
9972.0,B,0.73
3851.0,B,0.77
3851.0,B,0.77
5338.0,C,0.32
5338.0,C,0.32
5338.0,C,0.32
3928.0,C,0.41
7094.0,B,0.82
6511.0,C,1.28
6511.0,C,1.28
4046.0,A,0.78
5101.0,B,0.66
5101.0,B,0.66
5101.0,B,0.66
8493.0,D,0.5
2617.0,C,0.28
2617.0,C,0.28
2984.0,D,0.19
6583.0,A,0.96
7468.0,C,1.16
1675.0,C,0.95
1675.0,C,0.95
2207.0,B,0.29
2207.0,B,0.29
2207.0,B,0.29
2207.0,B,0.29
4093.0,C,0.12
4093.0,C,0.12
2369.0,D,0.46
5540.0,B,0.48
5540.0,B,0.48
2698.0,C,0.51
2503.0,C,0.24
2503.0,C,0.24
5340.0,A,0.71
7770.0,A,0.58
2360.0,B,1.24
1172.0,C,0.36
5972.0,D,1.23
7108.0,A,0.91
6609.0,D,1.16
1534.0,B,0.3
1534.0,B,0.3
1534.0,B,0.3
2381.0,B,0.67
2381.0,B,0.67
2381.0,B,0.67
2381.0,B,0.67
2381.0,B,0.67
3890.0,C,0.84
9322.0,B,0.37
4836.0,A,1.09
4836.0,A,1.09
4836.0,A,1.09
4235.0,B,1.28
7254.0,A,0.88
9810.0,A,0.81
9810.0,A,0.81
6939.0,C,0.71
8791.0,D,1.08
8791.0,D,1.08
8791.0,D,1.08
9931.0,C,1.09
9931.0,C,1.09
9931.0,C,1.09
7598.0,C,0.84
8297.0,A,0.28
8297.0,A,0.28
9620.0,A,0.53
2346.0,A,0.37
2346.0,A,0.37
5974.0,A,0.82
6839.0,C,1.0
2816.0,B,0.41
9443.0,C,0.82
9443.0,C,0.82
7120.0,D,0.17
8178.0,C,0.11
6403.0,C,0.52
6705.0,B,0.61
6705.0,B,0.61
5260.0,C,1.23
5260.0,C,1.23
5260.0,C,1.23
9372.0,A,0.44
4720.0,B,0.27
4720.0,B,0.27
2935.0,B,1.11
6566.0,A,0.59
4746.0,B,0.66
7135.0,B,0.66
7135.0,B,0.66
8832.0,A,0.79
8832.0,A,0.79
5318.0,A,0.18
5318.0,A,0.18
5814.0,C,0.43
5814.0,C,0.43
5814.0,C,0.43
6725.0,A,1.27
1376.0,A,0.39
3211.0,D,0.78
3211.0,D,0.78
7296.0,C,0.27
5138.0,C,1.05
4902.0,D,1.17
4902.0,D,1.17
4902.0,D,1.17
6997.0,B,0.32
4227.0,C,0.69
4227.0,C,0.69
3947.0,C,0.5
3947.0,C,0.5
4411.0,B,0.87
2365.0,A,0.45
9343.0,D,1.16
9343.0,D,1.16
9343.0,D,1.16
9343.0,D,1.16
8502.0,A,0.48
6545.0,D,0.13
9909.0,B,0.66
2513.0,A,0.9
2513.0,A,0.9
8399.0,A,0.96
5626.0,A,1.19
6549.0,A,1.29
7958.0,A,0.22
3891.0,A,0.31
4250.0,B,0.53
4250.0,B,0.53
5398.0,D,0.83
4643.0,B,1.3
4643.0,B,1.3
5552.0,C,0.29
8627.0,D,1.24
3888.0,D,0.25
6646.0,A,1.08
6646.0,A,1.08
7889.0,A,0.85
7889.0,A,0.85
8925.0,B,0.98
8783.0,C,0.59
8783.0,C,0.59
6543.0,A,0.38
5687.0,B,0.67
1048.0,A,0.36
6333.0,D,0.91
5256.0,A,1.1
2484.0,A,0.66
4773.0,B,0.73
8031.0,B,1.0
9258.0,C,1.24
1900.0,D,0.98
8429.0,D,0.75
9768.0,C,0.97
4008.0,A,0.95
