item_id,item_group,cubic_volume_ft
1376.0,A,0.39
1376.0,A,0.39
9667.0,B,0.11
4836.0,A,1.09
4836.0,A,1.09
4836.0,A,1.09
7889.0,A,0.85
9322.0,B,0.37
5683.0,B,0.23
3938.0,A,1.17
3938.0,A,1.17
3851.0,B,0.77
3851.0,B,0.77
7254.0,A,0.88
7254.0,A,0.88
7254.0,A,0.88
4411.0,B,0.87
4411.0,B,0.87
2194.0,C,0.13
8294.0,A,0.97
9443.0,C,0.82
9443.0,C,0.82
9443.0,C,0.82
2663.0,C,0.34
2663.0,C,0.34
2663.0,C,0.34
7054.0,D,0.59
7054.0,D,0.59
8030.0,B,0.7
8030.0,B,0.7
6583.0,A,0.96
7528.0,B,0.48
7528.0,B,0.48
7528.0,B,0.48
7528.0,B,0.48
7468.0,C,1.16
5626.0,A,1.19
5626.0,A,1.19
5101.0,B,0.66
8876.0,C,0.62
8876.0,C,0.62
8876.0,C,0.62
4227.0,C,0.69
5138.0,C,1.05
5138.0,C,1.05
5138.0,C,1.05
6511.0,C,1.28
6511.0,C,1.28
6511.0,C,1.28
8839.0,A,1.08
8839.0,A,1.08
9669.0,A,0.99
9669.0,A,0.99
9669.0,A,0.99
9669.0,A,0.99
9669.0,A,0.99
5686.0,D,0.9
5686.0,D,0.9
2484.0,A,0.66
2484.0,A,0.66
7349.0,C,0.62
7349.0,C,0.62
6177.0,A,1.1
6545.0,D,0.13
6545.0,D,0.13
6545.0,D,0.13
7805.0,A,0.71
7805.0,A,0.71
5014.0,B,0.22
5014.0,B,0.22
5014.0,B,0.22
5014.0,B,0.22
7598.0,C,0.84
7598.0,C,0.84
7598.0,C,0.84
9372.0,A,0.44
9372.0,A,0.44
8629.0,C,0.27
3684.0,C,0.26
3684.0,C,0.26
3684.0,C,0.26
8493.0,D,0.5
8493.0,D,0.5
4660.0,A,0.77
4660.0,A,0.77
9972.0,B,0.73
3211.0,D,0.78
1126.0,D,0.91
1126.0,D,0.91
1126.0,D,0.91
8399.0,A,0.96
8399.0,A,0.96
8399.0,A,0.96
3426.0,D,1.26
3061.0,D,1.25
3425.0,B,0.25
4008.0,A,0.95
4008.0,A,0.95
4008.0,A,0.95
2503.0,C,0.24
8429.0,D,0.75
5531.0,D,0.24
5531.0,D,0.24
6566.0,A,0.59
6566.0,A,0.59
6566.0,A,0.59
6145.0,D,0.15
6145.0,D,0.15
6543.0,A,0.38
6543.0,A,0.38
3027.0,A,0.97
3027.0,A,0.97
3027.0,A,0.97
3027.0,A,0.97
3027.0,A,0.97
5974.0,A,0.82
2365.0,A,0.45
2365.0,A,0.45
8783.0,C,0.59
2073.0,B,0.2
3306.0,D,0.36
3306.0,D,0.36
4046.0,A,0.78
1678.0,D,0.35
9620.0,A,0.53
9620.0,A,0.53
6333.0,D,0.91
6333.0,D,0.91
6333.0,D,0.91
6333.0,D,0.91
5134.0,A,0.47
8254.0,B,1.14
8254.0,B,1.14
8502.0,A,0.48
5687.0,B,0.67
5687.0,B,0.67
2935.0,B,1.11
2935.0,B,1.11
8637.0,C,0.55
6455.0,A,0.56
7094.0,B,0.82
4643.0,B,1.3
4810.0,B,0.51
4093.0,C,0.12
4093.0,C,0.12
8178.0,C,0.11
7903.0,C,0.22
2369.0,D,0.46
2369.0,D,0.46
2369.0,D,0.46
9690.0,C,0.39
9690.0,C,0.39
9690.0,C,0.39
2301.0,A,1.18
2301.0,A,1.18
2301.0,A,1.18
4024.0,B,1.27
4024.0,B,1.27
4024.0,B,1.27
4024.0,B,1.27
2167.0,D,0.29
2121.0,A,0.71
1521.0,C,0.8
3790.0,B,0.88
5884.0,B,1.09
5884.0,B,1.09
7870.0,D,0.34
6705.0,B,0.61
6705.0,B,0.61
6278.0,C,0.74
8297.0,A,0.28
6549.0,A,1.29
6549.0,A,1.29
5340.0,A,0.71
7958.0,A,0.22
7958.0,A,0.22
4113.0,A,0.15
4113.0,A,0.15
8877.0,B,0.33
5552.0,C,0.29
5552.0,C,0.29
5552.0,C,0.29
1172.0,C,0.36
7803.0,D,0.28
7803.0,D,0.28
5440.0,A,0.77
1534.0,B,0.3
5948.0,B,0.92
6725.0,A,1.27
5456.0,A,0.86
2140.0,A,0.67
2140.0,A,0.67
2140.0,A,0.67
3933.0,C,0.69
3933.0,C,0.69
3928.0,C,0.41
3392.0,B,0.14
8832.0,A,0.79
7135.0,B,0.66
3947.0,C,0.5
3891.0,A,0.31
6952.0,A,0.76
2745.0,D,1.08
9931.0,C,1.09
5398.0,D,0.83
7108.0,A,0.91
2055.0,D,0.34
5260.0,C,1.23
5260.0,C,1.23
5260.0,C,1.23
5260.0,C,1.23
6939.0,C,0.71
6403.0,C,0.52
8031.0,B,1.0
2524.0,A,0.43
